id,amenity,geometry,risk_score
7127949304,hospital,POINT (79.224415 29.901035),0.8
7127949305,hospital,POINT (78.8762372 30.0971133),0.8
7127949308,hospital,POINT (79.2030529 29.310676),0.8
7127949311,hospital,POINT (78.0446511 31.0197955),0.8
7127949314,hospital,POINT (78.780887 29.981144),0.8
7127949320,hospital,POINT (78.3931493 30.3517344),0.8
7127949324,hospital,POINT (79.2959564 29.5941953),0.8
7127949325,hospital,POINT (80.115805 29.0701067),0.8
7127949329,clinic,POINT (79.4270581 29.7568832),0.7
7127949331,hospital,POINT (79.0156989 29.7361847),0.8
7127949332,hospital,POINT (78.4674209 30.3166606),0.8
7127949336,hospital,POINT (77.854791 30.705156),0.8
7127949339,hospital,POINT (78.9814996 30.2864682),0.8
7127949344,hospital,POINT (77.7695897 29.8112395),0.8
7127949346,hospital,POINT (79.3210273 30.3316591),0.8
7127949348,hospital,POINT (78.7736936 30.1508374),0.8
7127949349,hospital,POINT (79.8134335 28.9463979),0.8
7192960185,school,POINT (78.0950801 30.4005008),0.4
7428743152,shelter,POINT (78.2949274 30.1033701),0.9
7479937212,clinic,POINT (79.3173807 30.4097231),0.7
7479937213,hospital,POINT (79.645858 29.60514),0.8
7479937214,clinic,POINT (78.0621234 30.3341892),0.7
7479937215,hospital,POINT (79.2149926 30.2602971),0.8
7479937216,hospital,POINT (79.4012884 30.1407397),0.8
7479937217,clinic,POINT (79.6592703 29.599398),0.7
7479937218,hospital,POINT (77.9363421 30.3524946),0.8
7479937219,clinic,POINT (79.2904817 30.056436),0.7
7479937221,clinic,POINT (78.0433909 30.3193454),0.7
7479937222,clinic,POINT (77.963263 30.3339887),0.7
7479937223,clinic,POINT (79.614402 29.902644),0.7
7479937224,hospital,POINT (79.2151662 30.2632645),0.8
7479937226,hospital,POINT (79.9810673 29.8801149),0.8
7479937227,hospital,POINT (78.0430172 30.3191611),0.8
7479937229,hospital,POINT (78.0787419 30.2686878),0.8
7479937232,hospital,POINT (77.9664382 30.346949),0.8
7479937233,clinic,POINT (79.6406173 29.584071),0.7
7479937234,clinic,POINT (79.2542109 30.2893171),0.7
7479937236,clinic,POINT (78.0568731 30.3379039),0.7
7479937237,hospital,POINT (79.6567743 29.5969913),0.8
7479937238,hospital,POINT (79.3723226 30.1809855),0.8
7479937239,hospital,POINT (79.4302887 30.4334554),0.8
7479937240,clinic,POINT (78.0631525 30.3323513),0.7
7479937241,hospital,POINT (79.6495331 29.5918017),0.8
7479937242,clinic,POINT (79.317032 30.409741),0.7
7479937246,hospital,POINT (77.9673178 30.3343136),0.8
7479937248,hospital,POINT (80.061124 29.374094),0.8
7479937249,clinic,POINT (77.9605297 30.3362313),0.7
7479937250,hospital,POINT (80.0834249 29.3950798),0.8
7479937253,clinic,POINT (78.0946875 30.2633849),0.7
7479937254,hospital,POINT (79.5034623 30.0724495),0.8
7479937255,hospital,POINT (78.0659147 30.3287647),0.8
7479937256,hospital,POINT (78.0437622 30.3167914),0.8
7479937257,clinic,POINT (77.9609727 30.3333289),0.7
7479937258,hospital,POINT (79.1908867 29.8036891),0.8
7479937259,clinic,POINT (79.4497273 30.2588857),0.7
7479937261,clinic,POINT (79.6578862 29.5986988),0.7
7479937262,hospital,POINT (78.0807579 30.2713518),0.8
7479937263,clinic,POINT (78.0460002 30.3192081),0.7
7479937264,hospital,POINT (79.145176 30.287139),0.8
7479937265,clinic,POINT (79.2175616 30.2602157),0.7
7479937267,hospital,POINT (77.9664615 30.3437396),0.8
7479937268,clinic,POINT (79.6083869 29.8971195),0.7
7479937269,clinic,POINT (79.318032 30.409441),0.7
7479937270,clinic,POINT (78.048034 30.311589),0.7
7479937271,hospital,POINT (79.9747553 29.8792682),0.8
7479937272,hospital,POINT (80.089099 29.3325959),0.8
7479937274,hospital,POINT (80.0897501 29.4010967),0.8
7479937275,clinic,POINT (79.6162263 29.9059588),0.7
7479937276,clinic,POINT (78.0509177 30.3044925),0.7
7479937278,clinic,POINT (78.0909295 30.2570338),0.7
7479937280,hospital,POINT (78.064203 30.288311),0.8
7479937283,hospital,POINT (78.0712299 30.2811131),0.8
7479937285,clinic,POINT (79.3165566 30.4131135),0.7
7479937286,hospital,POINT (78.046923 30.3174427),0.8
7479937287,clinic,POINT (79.6599504 29.6000577),0.7
7479937290,clinic,POINT (79.3175123 30.4094225),0.7
7479937293,hospital,POINT (78.0138545 30.3375992),0.8
7479937294,hospital,POINT (80.0875282 29.3973048),0.8
7479937298,clinic,POINT (78.0506694 30.3409589),0.7
7479937299,clinic,POINT (79.2163164 30.2594962),0.7
7479937300,hospital,POINT (77.9593852 30.3378635),0.8
7479937301,hospital,POINT (79.3479848 29.8831384),0.8
7479937302,clinic,POINT (79.500668 30.0735654),0.7
7479937303,hospital,POINT (78.0503125 30.3196861),0.8
7479937304,hospital,POINT (78.0299292 30.3299169),0.8
7479937305,hospital,POINT (79.3508081 29.8842834),0.8
7479937306,clinic,POINT (79.2487361 30.2833591),0.7
7479937308,hospital,POINT (78.0167854 30.3354477),0.8
7479937309,clinic,POINT (79.3202306 30.4075987),0.7
7479937310,hospital,POINT (78.045445 30.310123),0.8
7479937315,hospital,POINT (79.6416039 29.5827796),0.8
7479937316,hospital,POINT (79.4268799 30.4284287),0.8
7479937319,hospital,POINT (80.0088601 29.8784955),0.8
7479937323,hospital,POINT (78.057667 30.320661),0.8
7479937324,clinic,POINT (77.9609489 30.3362003),0.7
7479937325,clinic,POINT (79.2185449 30.2559647),0.7
7484472624,hospital,POINT (77.8750496 29.8685613),0.8
7484472625,clinic,POINT (77.8746041 29.867405),0.7
7484472626,clinic,POINT (77.8869994 29.879761),0.7
7484472628,hospital,POINT (77.8800152 29.8688661),0.8
7484472630,clinic,POINT (77.8733323 29.8775509),0.7
7484472631,hospital,POINT (78.137127 29.9200894),0.8
7484472632,hospital,POINT (77.8757356 29.8822089),0.8
7484472633,clinic,POINT (78.3258813 30.5754401),0.7
7484472634,clinic,POINT (77.8735565 29.867001),0.7
7484472635,clinic,POINT (77.8618617 29.870133),0.7
7484472637,clinic,POINT (77.8783713 29.8648626),0.7
7484472638,clinic,POINT (77.871158 29.88164),0.7
7484472639,clinic,POINT (77.8762933 29.873484),0.7
7484472640,clinic,POINT (77.8815002 29.8705455),0.7
7484472641,clinic,POINT (77.8834638 29.8743316),0.7
7484472642,hospital,POINT (77.8840561 29.8786916),0.8
7484472643,hospital,POINT (77.8867116 29.8672979),0.8
7484472644,clinic,POINT (77.8761597 29.8705311),0.7
7484472645,hospital,POINT (78.1363378 29.9217118),0.8
7484472646,clinic,POINT (77.8779888 29.8791743),0.7
7484472647,hospital,POINT (77.876568 29.8799006),0.8
7484472650,clinic,POINT (77.8671234 29.8620822),0.7
7484472652,hospital,POINT (77.8814335 29.8701088),0.8
7484472654,clinic,POINT (77.873296 29.871839),0.7
7484472655,clinic,POINT (77.8874056 29.8789208),0.7
7484472656,clinic,POINT (77.8687162 29.8700784),0.7
7484472657,clinic,POINT (77.8804336 29.8867966),0.7
7484472658,hospital,POINT (77.8762571 29.8539347),0.8
7484472659,hospital,POINT (77.8856928 29.8772051),0.8
7484472661,hospital,POINT (77.8768955 29.8778623),0.8
7484472663,clinic,POINT (77.8863872 29.878009),0.7
7484472664,hospital,POINT (77.8867055 29.8540737),0.8
7484472665,clinic,POINT (77.8763615 29.8735815),0.7
7484472666,clinic,POINT (78.3155638 30.5838919),0.7
7484472667,hospital,POINT (78.1410544 29.9185558),0.8
7484472670,clinic,POINT (77.8856434 29.8780432),0.7
7484472671,hospital,POINT (78.1368264 29.9222758),0.8
7484472672,clinic,POINT (78.1394408 29.918688),0.7
7484472674,hospital,POINT (77.8716777 29.8652878),0.8
7484472675,clinic,POINT (77.8769665 29.875164),0.7
7484472676,hospital,POINT (77.8776663 29.8834976),0.8
7484472677,hospital,POINT (77.873308 29.871859),0.8
7484472678,clinic,POINT (77.879473 29.8855383),0.7
7484472679,clinic,POINT (77.8700077 29.8719543),0.7
7484472680,clinic,POINT (77.87753 29.8733566),0.7
7484472682,hospital,POINT (77.885893 29.867856),0.8
7484472683,hospital,POINT (77.8773671 29.8821173),0.8
7484472684,clinic,POINT (78.3257095 30.570076),0.7
7484472685,clinic,POINT (77.8778282 29.8731063),0.7
7484472686,hospital,POINT (77.8738589 29.8672464),0.8
7484472689,clinic,POINT (77.8800514 29.8866815),0.7
7484472690,clinic,POINT (77.8884787 29.8809016),0.7
7484472692,clinic,POINT (77.8816076 29.8702775),0.7
7484472693,clinic,POINT (77.8711427 29.8721663),0.7
7484472694,clinic,POINT (77.8868302 29.8793413),0.7
7484472695,hospital,POINT (77.8859943 29.8290535),0.8
7484472696,clinic,POINT (77.8839213 29.874476),0.7
